id,ident,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,score,last_updated
2868,FCBB,-4.251699924,15.25300026,1048,AF,Republic of the Congo,CG,750,2008-06-13T14:30:04+00:00
2871,FCPP,-4.81603,11.8866,55,AF,Republic of the Congo,CG,750,2021-01-27T10:27:07+00:00
30920,FCPL,-4.20635,12.6599,1079,AF,Republic of the Congo,CG,500,2012-12-15T10:39:06+00:00
2870,FCOU,1.615990043,16.03790092,1158,AF,Republic of the Congo,CG,250,2014-03-27T11:19:29+00:00
2869,FCOO,-0.531350017,15.95009995,1214,AF,Republic of the Congo,CG,250,2008-12-19T20:05:25+00:00
31680,FCOI,1.616999984,18.06699944,1099,AF,Republic of the Congo,CG,50,2008-08-03T11:30:05+00:00
31959,FCMM,-2.950000048,12.69999981,1519,AF,Republic of the Congo,CG,50,2008-08-03T11:29:50+00:00
32036,FCBY,-4.223077,13.286347,541,AF,Republic of the Congo,CG,50,2016-01-31T08:46:06+00:00
30645,FCBZ,-2.849999905,13.81700039,1870,AF,Republic of the Congo,CG,50,2008-08-03T11:29:32+00:00
323021,FCOD,-1.226666,15.91,1073,AF,Republic of the Congo,CG,250,2018-05-01T14:43:46+00:00
31081,FCBU,-4.267000198,13.53299999,1148,AF,Republic of the Congo,CG,50,2008-08-03T11:29:28+00:00
31096,FCPB,-3.683000088,13.19999981,1312,AF,Republic of the Congo,CG,50,2008-08-03T11:30:12+00:00
30798,FCOT,3.057593,18.514433,1168,AF,Republic of the Congo,CG,50,2022-02-24T18:32:27+00:00
322352,CG-0002,2.202584,16.185859,,AF,Republic of the Congo,CG,50,2017-03-10T19:15:46+00:00
30784,FCOB,-1.032999992,15.38300037,1247,AF,Republic of the Congo,CG,50,2008-12-19T20:05:17+00:00
30921,FCBD,-2.516883,14.754403,2595,AF,Republic of the Congo,CG,50,2020-04-26T22:59:24+00:00
333205,CG-0004,2.829175,18.02458,1318,AF,Republic of the Congo,CG,50,2020-02-08T16:17:06+00:00
31032,FCOE,-0.883000016,14.80000019,1503,AF,Republic of the Congo,CG,50,2008-12-19T20:05:19+00:00
31543,FCOG,-1.829403,15.885237,1509,AF,Republic of the Congo,CG,50,2012-11-01T15:31:46+00:00
31086,FCMG,-3.032999992,12.13300037,820,AF,Republic of the Congo,CG,50,2008-08-03T11:29:42+00:00
31087,FCMI,-2.717000008,11.88300037,919,AF,Republic of the Congo,CG,50,2008-08-03T11:29:44+00:00
31088,FCMK,-3.316999912,12.61699963,902,AF,Republic of the Congo,CG,50,2008-08-03T11:29:46+00:00
31740,FCOK,-0.082999997,14.53299999,1526,AF,Republic of the Congo,CG,50,2008-12-19T20:05:21+00:00
31098,FCPG,-3.48300004,12.30000019,427,AF,Republic of the Congo,CG,50,2008-08-03T11:30:16+00:00
31763,FCBK,-3.950000048,14.5170002,1460,AF,Republic of the Congo,CG,50,2008-08-03T11:29:17+00:00
31078,FCBA,-4.083000183,14.2329998,984,AF,Republic of the Congo,CG,50,2008-08-03T11:29:13+00:00
31798,FCBL,-2.450000048,14.53299999,2756,AF,Republic of the Congo,CG,50,2008-08-03T11:29:18+00:00
31089,FCML,-2.900000095,12.36699963,886,AF,Republic of the Congo,CG,50,2008-08-03T11:29:48+00:00
31094,FCMY,-2.217000008,12.83300018,2152,AF,Republic of the Congo,CG,50,2008-08-03T11:29:59+00:00
31097,FCPE,-3.433000088,12.93299961,1198,AF,Republic of the Congo,CG,50,2008-08-03T11:30:14+00:00
313916,LKC,-2.313,14.606,2634,AF,Republic of the Congo,CG,50,2015-02-22T13:48:06+00:00
31099,FCPI,-3.700000048,12.13300037,328,AF,Republic of the Congo,CG,50,2008-08-03T11:30:18+00:00
31085,FCMF,-3,12,650,AF,Republic of the Congo,CG,50,2008-08-03T11:29:39+00:00
31103,FCPY,-4.048475,11.521568,295,AF,Republic of the Congo,CG,50,2021-01-27T10:30:30+00:00
31080,FCBT,-4.282999992,13.86699963,656,AF,Republic of the Congo,CG,50,2008-08-03T11:29:26+00:00
31079,FCBP,-4.367000103,14.14999962,1115,AF,Republic of the Congo,CG,50,2008-08-03T11:29:22+00:00
31760,FCPA,-3.48300004,12.61699963,495,AF,Republic of the Congo,CG,50,2008-08-03T11:30:10+00:00
31917,FCOM,-0.017000001,15.58300018,1293,AF,Republic of the Congo,CG,50,2008-12-19T20:05:23+00:00
31091,FCMO,-2.650000095,12.88300037,1772,AF,Republic of the Congo,CG,50,2008-08-03T11:29:54+00:00
31092,FCMR,-2.900000095,12.63300037,1535,AF,Republic of the Congo,CG,50,2008-08-03T11:29:55+00:00
321378,CG-0001,-1.012216,17.104403,,AF,Republic of the Congo,CG,50,2016-12-03T16:39:16+00:00
31082,FCMA,-2.450000048,11.64999962,509,AF,Republic of the Congo,CG,50,2008-08-03T11:29:33+00:00
333204,CG-0003,3.278863,16.756092,1664,AF,Republic of the Congo,CG,50,2020-02-08T16:13:53+00:00
31971,FCBM,-4.014873981,13.96611214,1670,AF,Republic of the Congo,CG,50,2009-04-15T19:36:42+00:00
31090,FCMN,-2.98300004,12.19999981,906,AF,Republic of the Congo,CG,50,2008-08-03T11:29:52+00:00
31095,FCMZ,-3.167000055,12.86699963,1640,AF,Republic of the Congo,CG,50,2008-08-03T11:30:01+00:00
31100,FCPK,-3.93999,11.30887,98,AF,Republic of the Congo,CG,50,2021-01-27T10:37:51+00:00
31083,FCMB,-2.717000008,12.53299999,2149,AF,Republic of the Congo,CG,50,2008-08-03T11:29:35+00:00
31101,FCPN,-4.144149,11.383476,39,AF,Republic of the Congo,CG,50,2021-01-27T10:29:05+00:00
31093,FCMS,-2.867000103,11.94999981,558,AF,Republic of the Congo,CG,50,2008-08-03T11:29:57+00:00
32110,CG-OKG,-1.448330045,15.07330036,1415,AF,Republic of the Congo,CG,50,2015-09-11T06:54:08+00:00
31102,FCPO,-2.867000103,12.53299999,1686,AF,Republic of the Congo,CG,50,2008-08-03T11:30:25+00:00
32300,FCBS,-3.683000088,13.35000038,1883,AF,Republic of the Congo,CG,50,2008-08-03T11:29:24+00:00
31084,FCMD,-2.867000103,12.86699963,2133,AF,Republic of the Congo,CG,50,2008-08-03T11:29:37+00:00
32344,FCOS,2.066999912,14.13300037,1722,AF,Republic of the Congo,CG,50,2008-08-03T11:30:07+00:00
333206,CG-0005,2.651304,17.173194,1193,AF,Republic of the Congo,CG,50,2020-02-08T16:20:01+00:00
